record_ID,sku_id,day,month,year,cost,predicted_demand
212793,216233,16,7,2025,141.075,71
212817,216233,16,7,2025,127.5375,25
212838,216233,16,7,2025,125.4,14
212861,216233,16,7,2025,128.9625,26
212885,216233,16,7,2025,128.9625,22
212901,216233,16,7,2025,128.25,34
212920,216233,16,7,2025,140.3625,50
212941,216233,16,7,2025,140.3625,38
212959,216233,16,7,2025,125.4,18
212982,216233,16,7,2025,128.9625,24
213006,216233,16,7,2025,129.675,22
213026,216233,16,7,2025,139.65,60
213054,216233,16,7,2025,141.075,56
213077,216233,16,7,2025,127.5375,29
213101,216233,16,7,2025,130.3875,22
213132,216233,16,7,2025,141.075,44
213151,216233,16,7,2025,131.1,24
213175,216233,16,7,2025,140.3625,71
213200,216233,16,7,2025,128.25,29
213220,216233,16,7,2025,133.95,38
213242,216233,16,7,2025,141.7875,50
213260,216233,16,7,2025,134.6625,26
213280,216233,16,7,2025,131.1,34
213305,216233,16,7,2025,127.5375,31
213326,216233,16,7,2025,140.3625,56
213352,216233,16,7,2025,126.825,35
213373,216233,16,7,2025,131.8125,33
213395,216233,16,7,2025,128.9625,36
213416,216233,16,7,2025,131.8125,30
213440,216233,16,7,2025,141.075,53
213457,216233,16,7,2025,141.075,49
213477,216233,16,7,2025,141.075,64
213497,216233,16,7,2025,129.675,31
213536,216233,16,7,2025,132.525,32
213559,216233,16,7,2025,129.675,26
213577,216233,16,7,2025,132.525,37
213598,216233,16,7,2025,128.9625,38
213620,216233,16,7,2025,133.95,57
213644,216233,16,7,2025,130.3875,31
213665,216233,16,7,2025,129.675,33
213686,216233,16,7,2025,129.675,39
213708,216233,16,7,2025,140.3625,52
213728,216233,16,7,2025,140.3625,44
213749,216233,16,7,2025,139.65,62
213774,216233,16,7,2025,141.7875,65
213801,216233,16,7,2025,128.25,24
213820,216233,16,7,2025,129.675,19
213838,216233,16,7,2025,141.7875,44
213852,216233,16,7,2025,140.3625,44
213875,216233,16,7,2025,141.075,61
213896,216233,16,7,2025,140.3625,73
213918,216233,16,7,2025,129.675,21
213939,216233,16,7,2025,131.1,20
213961,216233,16,7,2025,126.1125,29
213982,216233,16,7,2025,138.9375,60
214009,216233,16,7,2025,141.075,58
214027,216233,16,7,2025,141.7875,62
214049,216233,16,7,2025,141.075,88
214074,216233,16,7,2025,131.1,25
214096,216233,16,7,2025,128.25,23
214115,216233,16,7,2025,128.25,26
214134,216233,16,7,2025,128.25,30
214155,216233,16,7,2025,139.65,60
214179,216233,16,7,2025,140.3625,50
214197,216233,16,7,2025,141.7875,56
214216,216233,16,7,2025,126.1125,35
214241,216233,16,7,2025,141.075,51
214266,216233,16,7,2025,133.2375,32
214287,216233,23,7,2025,133.95,40
214306,216233,23,7,2025,133.2375,73
214331,216233,23,7,2025,131.8125,32
214355,216233,23,7,2025,134.6625,36
214382,216233,23,7,2025,139.65,58
214407,216233,23,7,2025,140.3625,60
214431,216233,23,7,2025,141.075,71
214455,216233,23,7,2025,127.5375,28
214476,216233,23,7,2025,125.4,15
214499,216233,23,7,2025,128.9625,28
214523,216233,23,7,2025,128.9625,27
214541,216233,23,7,2025,128.25,35
214560,216233,23,7,2025,140.3625,51
214582,216233,23,7,2025,140.3625,37
